dice,iou,hd95,precision,recall,specificity,tp,pred_voxels,true_voxels,fold,case
0.20743206143379211,0.1157178208231926,249.81710815429688,0.11640211939811707,0.9516539573669434,0.999747633934021,374,3213,393,1,lung_001.nii.gz
0.25203102827072144,0.14418506622314453,174.98513793945312,0.1445588916540146,0.9823809266090393,0.9988788366317749,2063,14271,2100,1,lung_005.nii.gz
0.1736752688884735,0.09509550034999847,246.69642639160156,0.2933369278907776,0.12335482984781265,0.999594509601593,3271,11151,26517,1,lung_009.nii.gz
0.7687914371490479,0.6244201064109802,116.4796142578125,0.6576119065284729,0.925213098526001,0.9997873306274414,3365,5117,3637,1,lung_010.nii.gz
0.03182227537035942,0.016168395057320595,246.98399353027344,0.016330303624272346,0.6180757880210876,0.9992867112159729,212,12981,343,1,lung_015.nii.gz
0.17528024315834045,0.09605871886014938,222.1043701171875,0.11235535889863968,0.39841166138648987,0.9996415972709656,602,5358,1511,1,lung_016.nii.gz
0.1302407830953598,0.06965644657611847,205.61080932617188,0.10286930203437805,0.17745913565158844,0.998368501663208,3094,30077,17435,1,lung_022.nii.gz
0.061996281147003174,0.03198976442217827,224.15841674804688,0.044883303344249725,0.10033445060253143,0.9998144507408142,150,3344,1495,1,lung_023.nii.gz
0.6386383771896362,0.4691173732280731,245.3738250732422,0.49275997281074524,0.9071082472801208,0.9995694160461426,7861,15952,8666,1,lung_027.nii.gz
0.22500446438789368,0.12676340341567993,189.31521606445312,0.3456360399723053,0.1667918860912323,0.999283492565155,7548,21838,45254,1,lung_028.nii.gz
0.6096991896629333,0.4385376274585724,212.8887481689453,0.5521010160446167,0.6807151436805725,0.9993351697921753,12679,22965,18626,1,lung_041.nii.gz
0.1629784256219864,0.08871883898973465,266.9270935058594,0.10139382630586624,0.4151048958301544,0.9992793798446655,1484,14636,3575,1,lung_051.nii.gz
0.19155171513557434,0.10592047870159149,238.24325561523438,0.11126795411109924,0.6878849864006042,0.99919593334198,1340,12043,1948,1,lung_054.nii.gz
0.03979221731424332,0.0203000009059906,298.61041259765625,0.020852593705058098,0.4337606728076935,0.9993196725845337,203,9735,468,1,lung_059.nii.gz
0.06508135050535202,0.03363518789410591,207.64137268066406,0.08706437051296234,0.0519615113735199,0.9987503290176392,1404,16126,27020,1,lung_064.nii.gz
0.4475347697734833,0.2882736027240753,168.54153442382812,0.3358633816242218,0.6704545617103577,0.9999491572380066,354,1054,528,1,lung_071.nii.gz
0.21631383895874023,0.12127348780632019,211.71636962890625,0.1265183985233307,0.7452471256256104,0.998996376991272,2156,17041,2893,1,lung_073.nii.gz
0.03553155064582825,0.018087107688188553,285.1249084472656,0.01898541860282421,0.276854932308197,0.9993032217025757,250,13169,903,1,lung_081.nii.gz
0.3448275923728943,0.2083333283662796,178.9437713623047,0.3393454849720001,0.3504897356033325,0.9997488260269165,1825,5378,5207,1,lung_084.nii.gz
0.2179226130247116,0.12228571623563766,295.8690490722656,0.1681068390607834,0.3096960783004761,0.9999207854270935,214,1273,691,1,lung_093.nii.gz
