dice,iou,hd95,precision,recall,specificity,fold,case
0.04522492364048958,0.023135613650083542,206.39857482910156,0.10485219955444336,0.02882993407547474,0.9998793005943298,2,lung_026.nii.gz
0.07453416287899017,0.03870967775583267,264.57061767578125,0.22742636501789093,0.044570617377758026,0.999779224395752,2,lung_031.nii.gz
0.17952387034893036,0.0986136943101883,219.46974182128906,0.11214041709899902,0.449804425239563,0.9996287822723389,2,lung_038.nii.gz
0.2267238050699234,0.12785588204860687,182.22006225585938,0.1777099221944809,0.3130715489387512,0.9997928142547607,2,lung_042.nii.gz
0.22012847661972046,0.1236766129732132,260.3236999511719,0.17076411843299866,0.3096385598182678,0.9999154210090637,2,lung_043.nii.gz
0.7026427984237671,0.5415955185890198,238.657958984375,0.6558345556259155,0.7566462159156799,0.999911904335022,2,lung_046.nii.gz
0.0010653409408405423,0.0005329543491825461,535.6318359375,0.0005476651131175458,0.019455252215266228,0.9982021450996399,2,lung_047.nii.gz
0.055953267961740494,0.02878185361623764,220.2181854248047,0.028944021090865135,0.8370565176010132,0.9987077713012695,2,lung_048.nii.gz
0.4254327416419983,0.2701902687549591,238.1573028564453,0.41792020201683044,0.4332203269004822,0.9999361634254456,2,lung_049.nii.gz
0.4104803502559662,0.25824177265167236,273.6390075683594,0.3684864640235901,0.46327683329582214,0.9995754957199097,2,lung_055.nii.gz
0.2471437156200409,0.1409948468208313,328.5924377441406,0.14310584962368011,0.9052863717079163,0.9998352527618408,2,lung_061.nii.gz
0.6954987645149231,0.5331529974937439,204.1036376953125,0.8342484831809998,0.5963205099105835,0.9998883605003357,2,lung_065.nii.gz
0.6450096368789673,0.47602522373199463,209.47970581054688,0.6445963382720947,0.645423412322998,0.9999544024467468,2,lung_066.nii.gz
0.0,0.0,222.81942749023438,0.0,0.0,0.9998459815979004,2,lung_069.nii.gz
0.10073094815015793,0.05303669348359108,291.0807800292969,0.055647749453783035,0.5300316214561462,0.999591588973999,2,lung_079.nii.gz
0.11820705980062485,0.06281618773937225,212.76483154296875,0.06933457404375076,0.4005376398563385,0.9997574687004089,2,lung_080.nii.gz
0.0,0.0,194.67318725585938,0.0,0.0,0.9997390508651733,2,lung_083.nii.gz
0.2930695712566376,0.17169392108917236,224.88470458984375,0.40011098980903625,0.2312132567167282,0.9997924566268921,2,lung_086.nii.gz
0.24748390913009644,0.14121633768081665,292.7060852050781,0.15018022060394287,0.7022472023963928,0.9998008608818054,2,lung_092.nii.gz
0.33560091257095337,0.20163488388061523,320.3685302734375,0.20998865365982056,0.8314606547355652,0.9999431371688843,3,lung_003.nii.gz
0.12431444227695465,0.06627680361270905,234.51864624023438,0.08160000294446945,0.260869562625885,0.9999369382858276,3,lung_004.nii.gz
0.09238040447235107,0.04842706024646759,218.00938415527344,0.13556115329265594,0.07006300240755081,0.999737560749054,3,lung_014.nii.gz
0.0,0.0,237.25523376464844,0.0,0.0,0.9999307990074158,3,lung_018.nii.gz
0.6835994124412537,0.5192943811416626,205.78146362304688,0.5793358087539673,0.8328912258148193,0.9999632835388184,3,lung_025.nii.gz
0.190476194024086,0.10526315867900848,252.08836364746094,0.11393892019987106,0.5808383226394653,0.9997413754463196,3,lung_029.nii.gz
0.6090278029441833,0.4378432333469391,146.62030029296875,0.6902794241905212,0.5448896884918213,0.9998588562011719,3,lung_033.nii.gz
0.6873661875724792,0.5236541628837585,244.4583282470703,0.6318897604942322,0.7535211443901062,0.9999184608459473,3,lung_034.nii.gz
0.0,0.0,259.2301940917969,0.0,0.0,0.9998751878738403,3,lung_036.nii.gz
0.165148064494133,0.09000620990991592,247.187744140625,0.10161177068948746,0.4407294690608978,0.9999136924743652,3,lung_037.nii.gz
0.29261311888694763,0.1713806837797165,281.6171569824219,0.45193371176719666,0.21634487807750702,0.9999505877494812,3,lung_044.nii.gz
0.6493425369262695,0.4807603061199188,174.0500946044922,0.8223631978034973,0.5364717841148376,0.9999875426292419,3,lung_045.nii.gz
0.07721169292926788,0.040156107395887375,141.52719116210938,0.8494171500205994,0.04044438898563385,0.9999629855155945,3,lung_053.nii.gz
0.64112389087677,0.47180449962615967,149.08819580078125,0.5833817720413208,0.711552083492279,0.9999455213546753,3,lung_057.nii.gz
0.0,0.0,173.90769958496094,0.0,0.0,0.9999897480010986,3,lung_058.nii.gz
0.768616259098053,0.6241890788078308,156.90350341796875,0.6809908747673035,0.8821218013763428,0.9999596476554871,3,lung_062.nii.gz
0.12410501390695572,0.0661577582359314,221.411376953125,0.09059233218431473,0.19696970283985138,0.9999122619628906,3,lung_070.nii.gz
0.7463682889938354,0.5953648686408997,266.63739013671875,0.8069902658462524,0.6942179203033447,0.9998776912689209,3,lung_074.nii.gz
0.7202947735786438,0.5628598928451538,305.6864013671875,0.7533718943595886,0.6902030110359192,0.9999631643295288,3,lung_075.nii.gz
0.776411235332489,0.63453608751297,112.470947265625,0.8141534328460693,0.7420132756233215,0.9999649524688721,3,lung_078.nii.gz
0.0,0.0,300.333740234375,0.0,0.0,0.9998782277107239,3,lung_096.nii.gz
